Key,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
You,你,你,You,あなた
Entelecheia,隐德来希,隱德來希,Entelecheia,エンテレケイア
Emilia,爱米丽娅,愛米麗婭,Emilia,エミリア
Brandenburg,勃兰登堡,勃蘭登堡,Brandenburg,ブランデンブルク
Saxony,萨克森,薩克森,Saxony,ザクセン
Cologne,科隆,科隆,Cologne,ケルン
Trier,特里尔,特里爾,Trier,トリーア
Bohemia,波西米亚,波希米亞,Bohemia,ボヘミア
Mainz,美因茨,美因茨,Mainz,マインツ
Platinate,普法尔茨,普法爾茨,Platinate,プファルツ
Richard,理查,理查,Richard,リチャード
Ivan,伊凡,伊凡,Ivan,イワン
Anna,安娜,安娜,Anna,アンナ
Roland,罗兰,羅蘭,Roland,ローラン
Constantine,君士坦丁,君士坦丁,Constantine,コンスタンティヌス
Eleanor,埃莉诺,埃莉諾,Eleanor,エレノア
Jane,简,簡,Jane,ジェーン
Jacques,雅克,雅克,Jacques,ジャック
Dido,狄多,狄多,Dido,ディドー
Louis,路易,路易,Louis,ルイ
Maria,玛丽亚,瑪麗亞,Maria,マリア
Messia,默西亚,默西亞,Messia,メシア
AlexeiGood,阿列克谢,阿列克謝,Alexei,アレクセイ
PinkMaid,粉色女仆,粉紅女僕,PinkMaid,ピンクメイド
Hanna,汉娜,漢娜,Hanna,ハンナ
???,？？？,？？？,???,？？？
