Key,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
Swordsman, 剑士, 劍士,Swordsman, 剣士  
Lancer, 枪兵, 槍兵,Lancer, 槍兵  
Shieldbearer, 盾兵, 盾兵,Shieldbearer, 盾兵  
Archer, 弓兵, 弓兵,Archer, 弓兵  
Alchemist, 炼金术师, 鍊金術師,Alchemist, 錬金術師  
Assassin, 刺客, 刺客,Assassin, アサシン  
Priest, 牧师, 牧師,Priest, 司祭
Commander, 指挥官, 指揮官,Commander, 指揮官  
Cavalry, 骑兵, 騎兵,Cavalry, 騎兵  
Knight, 骑士, 騎士,Knight, 騎士  
Magician, 魔法师, 魔法師,Magician, 魔導士
Berserker, 狂战士, 狂戰士,Berserker, 狂戦士  
Bard, 吟游诗人, 吟遊詩人,Bard, 吟遊詩人  
Brawler, 斗士, 鬥士,Brawler, 闘士
Commoner, 平民, 平民,Commoner, 平民  
Monster, 怪物, 怪物,Monster, モンスター  
Special, 特殊, 特殊,Special, 特殊
