Key,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
Arab,阿拉伯,阿拉伯,Arab,アラブ
Mesopotamia,美索不达米亚,美索不達米亞,Mesopotamia,メソポタミア
Babylonia,巴比伦尼亚,巴比倫尼亞,Babylonia,バビロニア
Babylon,巴比伦,巴比倫,Babylon,バビロン
Carthage,迦太基,迦太基,Carthage,カルタゴ
Demon Kingdom,魔王国,魔王國,Demon Kingdom,魔王国
Egypt,埃及,埃及,Egypt,エジプト
Kingdom of Englaland,英格兰王国,英格蘭王國,Kingdom of Englaland,イングランド王国
East Romulus Empire,东罗穆路斯帝国,東羅穆路斯帝國,East Romulus Empire,東ロムルス帝国
Free Francus,自由法兰克,自由法蘭克,Free Francus,自由法蘭克
Kingdom of Francus,法兰克王国,法蘭克王國,Kingdom of Francus,フランク王国
Hungary,匈牙利,匈牙利,Hungary,ハンガリー
State of the Knights Templar,圣殿骑士团,聖殿騎士團,State of the Knights Templar,テンプル騎士団
Kalmar Union,卡尔马联盟,卡爾馬聯盟,Kalmar Union,カルマル同盟
Macedonia,马其顿,馬其頓,Macedonia,マケドニア
Ottoman Empire,奥斯曼帝国,奧斯曼帝國,Ottoman Empire,オスマン帝国
Persian Empire,波斯帝国,波斯帝國,Persian Empire,ペルシア帝国
Polish-Lithuanian Commonwealth,波立联邦,波立聯邦,Polish-Lithuanian Commonwealth,ポーランド・リトアニア連邦
Rus Principality,罗斯公国,"罗斯公國	",Rus Principality,ルーシ公国
Sami,撒米族,撒米族,Sami,サーミ
Sky Fire Empire,天火帝国,天火帝國,Sky Fire Empire,天火帝国
State of the Teutonic Order,条顿骑士团,條頓騎士團,State of the Teutonic Order,チュートン騎士団
Scythia,斯基泰,斯基泰,Scythia,スキタイ
Greece,希腊,希臘,Greece,ギリシャ
Demihuman Alliance,"亚人联合	","亞人聯合	",Demihuman Alliance,亜人連合
Avalon,阿瓦隆,阿瓦隆,Avalon,アヴァロン
Giant's Island,巨人岛,巨人島,Giant's Island,巨人の島
Military State of Naples,"那不勒斯军政国	","那不勒斯軍政國	",Military State of Naples,ナポリ軍政国
Kingdom of Sicily,西西里王国,西西里王國,Kingdom of Sicily,シチリア王国
Union of Salvation,救赎联盟,救贖聯盟,Union of Salvation,救済同盟
Holy Romulus Empire,圣罗穆路斯帝国,聖羅穆路斯帝國,Holy Romulus Empire,聖ロムルス帝国
Trier,特里尔,特里爾,Trier,トリーア
Cologne,科隆,科隆,Cologne,ケルン
Bohemia,波希米亚,波希米亞,Bohemia,ボヘミア
Brandenburg,勃兰登堡,勃蘭登堡,Brandenburg,ブランデンブルク
Saxony,撒克森,撒克森,Saxony,ザクセン
Mainz,美因茨,美因茨,Mainz,マインツ
Platinate,普法尔茨,普法爾茨,Platinate,プファルツ
Papal State,教皇领,教皇領,Papal State,教皇領
Fairy Tale Kingdom,童话王国,童話王國,Fairy Tale Kingdom,フェアリーテイル王国
Bologna,博洛尼亚,博洛尼亞,Bologna,ボローニャ
Lombardy,伦巴第,倫巴第,Lombardy,ロンバルディア
Bavaria,巴伐利亚,巴伐利亞,Bavaria,バイエルン
Netherlands,尼德兰,尼德蘭,Netherlands,オランダ
Austria,奥地利,奧地利,Austria,オーストリア
Venice,威尼斯,威尼斯,Venice,ヴェネツィア
Burgundy,勃艮第,勃艮第,Burgundy,ブルゴーニュ
