Key,Chinese (Simplified)(zh-Hans),Chinese (Traditional)(zh-TW),English(en),Japanese(ja)
Display,显示,顯示,Display,ディスプレイ
Sound,声音,聲音,Sound,サウンド
Text,文本,文本,Text,テキスト
Control,操作,操作,Control,コントロール
Confirm,确认,確認,Confirmation,確認
Full Screen Mode,全屏化,全螢幕,Full Screen Mode,フルスクリーン化
Window Mode,窗口化,視窗化,Window Mode,ウィンドウ化
Display Name,名字显示,名字顯示,Show Name,名前表示
Display Time,时间显示,時間顯示,Display Time,時間表示
Game Language,游戏语言,遊戲語言,Game Language,ゲーム言語
Skip Unread,跳过未读,跳過未讀,Skip Unread,未読スキップ
Change Read Color,改变已读颜色,改變已讀顏色,Change Read Color,既読色変更
Text Speed,文本显示速度,文本顯示速度,Text Speed,テキスト速度
Auto Text Speed,自动文本速度,自動文本速度,Auto Text Speed,自動テキスト速度
Master Volume,全局音量,全局音量,Master Volume,マスターボリューム
Bgm Volume,背景音量,背景音量,BGM Volume,BGMボリューム
Sfx Volume,音效音量,音效音量,SFX Volume,SFXボリューム
Voice Volume,语言音量,語音音量,Voice Volume,ボイスボリューム
Default,默认设置,預設設定,Default,デフォルト設定
